title_length,text_length,sentiment_score,sentiment_label
12,495,-0.7096,negative
8,305,-0.34,negative
15,580,-0.296,negative
14,444,-0.2484,negative
11,420,0.0,neutral
13,312,-0.836,negative
15,352,0.3182,positive
15,376,-0.6124,negative
16,457,-0.34,negative
14,286,0.1689,positive
11,358,-0.8225,negative
16,273,0.1027,positive
14,388,-0.6908,negative
14,284,0.0,neutral
14,500,0.0,neutral
13,369,-0.3626,negative
12,455,-0.7906,negative
8,310,0.0,neutral
14,456,-0.8779,negative
9,435,-0.0516,negative
16,496,-0.4215,negative
14,340,-0.8074,negative
14,309,0.8633,positive
18,270,0.0,neutral
13,306,0.0,neutral
14,390,0.0,neutral
13,351,-0.7184,negative
16,463,-0.34,negative
14,331,0.6369,positive
10,448,-0.6124,negative
13,360,-0.8271,negative
9,422,0.0,neutral
13,414,0.1215,positive
11,513,0.4588,positive
15,292,0.0772,positive
13,282,0.0,neutral
13,378,0.4404,positive
13,441,0.4215,positive
13,652,-0.631,negative
12,522,-0.2263,negative
13,447,-0.7506,negative
16,299,-0.0516,negative
14,309,-0.3182,negative
18,385,-0.5106,negative
20,312,0.6249,positive
11,345,-0.4404,negative
12,394,0.0,neutral
13,321,0.128,positive
13,364,-0.4404,negative
14,301,-0.4364,negative
11,496,0.0,neutral
16,349,-0.6908,negative
14,420,-0.7906,negative
15,372,0.7865,positive
10,562,-0.4404,negative
15,494,-0.6808,negative
15,406,-0.7906,negative
14,565,-0.4019,negative
12,802,0.4215,positive
12,350,0.5106,positive
15,388,0.4215,positive
17,348,0.0,neutral
12,542,0.0,neutral
15,426,0.0,neutral
13,485,-0.6705,negative
13,1209,0.0,neutral
13,347,0.0,neutral
14,326,-0.7506,negative
14,479,0.0,neutral
9,436,-0.0772,negative
16,423,-0.3818,negative
12,618,-0.7269,negative
15,488,0.34,positive
16,382,0.296,positive
17,648,0.0,neutral
12,553,-0.5423,negative
12,382,0.0258,neutral
16,359,0.0,neutral
11,430,0.34,positive
16,715,0.6705,positive
9,388,-0.4215,negative
12,282,-0.5859,negative
17,289,0.4019,positive
10,527,-0.5574,negative
14,197,0.0,neutral
15,443,-0.6908,negative
12,418,-0.4588,negative
16,420,-0.2808,negative
16,463,-0.4767,negative
15,474,-0.5859,negative
16,355,0.0,neutral
15,515,-0.6124,negative
13,407,-0.4995,negative
11,287,-0.3818,negative
16,517,0.0,neutral
11,472,-0.0343,neutral
15,434,0.0,neutral
17,549,-0.5423,negative
13,313,0.0,neutral
15,439,-0.296,negative
12,356,0.4019,positive
11,362,-0.3182,negative
16,445,-0.2023,negative
12,359,0.4215,positive
12,441,-0.1027,negative
9,456,0.0,neutral
17,449,0.1022,positive
16,472,-0.0772,negative
12,125,0.0085,neutral
12,441,0.4824,positive
8,354,0.0,neutral
11,523,-0.7717,negative
13,380,0.0,neutral
15,378,0.2023,positive
15,476,0.0,neutral
12,311,0.3182,positive
12,363,0.0,neutral
12,350,-0.296,negative
12,348,0.3182,positive
14,329,0.4939,positive
14,285,-0.1531,negative
10,225,-0.5994,negative
15,350,0.5106,positive
15,440,-0.6486,negative
15,354,-0.3818,negative
9,276,0.0,neutral
13,318,0.4404,positive
15,330,0.0,neutral
13,344,0.2732,positive
14,226,-0.6249,negative
12,398,-0.4939,negative
13,454,0.4019,positive
17,538,0.0,neutral
16,398,0.0,neutral
17,341,0.0,neutral
13,584,-0.8555,negative
14,344,0.0,neutral
17,325,-0.1531,negative
9,384,-0.34,negative
15,246,-0.8779,negative
12,464,0.128,positive
14,616,0.6124,positive
19,417,-0.7672,negative
14,383,0.0,neutral
18,251,0.6808,positive
13,508,0.4466,positive
11,441,0.6124,positive
13,425,0.5859,positive
14,320,-0.7739,negative
11,416,0.0,neutral
13,420,-0.8625,negative
17,443,-0.6369,negative
16,271,-0.6908,negative
15,614,-0.5256,negative
12,425,-0.7096,negative
11,382,0.0,neutral
10,418,-0.7351,negative
11,374,-0.9001,negative
14,316,0.0,neutral
19,540,-0.8176,negative
12,338,0.5187,positive
15,584,-0.5719,negative
8,236,0.6369,positive
14,323,0.3612,positive
10,396,0.0,neutral
17,317,-0.8834,negative
16,311,0.0,neutral
12,394,-0.5423,negative
17,412,0.8316,positive
17,378,0.3182,positive
19,289,-0.34,negative
13,593,-0.4019,negative
13,330,-0.6249,negative
13,513,-0.5106,negative
11,487,-0.4926,negative
13,256,0.0,neutral
11,303,-0.7506,negative
13,446,-0.4215,negative
11,293,-0.2732,negative
12,497,0.2732,positive
14,376,0.0,neutral
9,248,0.0,neutral
13,231,-0.2263,negative
16,505,-0.3182,negative
12,205,-0.4588,negative
15,224,0.0,neutral
15,453,0.0,neutral
13,321,-0.296,negative
15,784,-0.25,negative
15,335,0.4019,positive
14,509,0.2656,positive
15,342,0.0,neutral
15,496,-0.765,negative
11,352,-0.4588,negative
17,423,-0.7506,negative
13,500,-0.4767,negative
11,328,-0.4466,negative
15,557,0.743,positive
14,313,-0.7003,negative
17,472,0.2023,positive
13,323,-0.5267,negative
10,406,0.2885,positive
14,361,0.5994,positive
18,358,-0.7845,negative
17,552,0.0,neutral
16,635,-0.5994,negative
13,352,-0.6908,negative
13,597,0.0,neutral
11,505,0.4767,positive
15,614,-0.5267,negative
16,374,-0.7983,negative
17,346,-0.2577,negative
16,373,-0.2944,negative
12,511,0.5994,positive
17,421,0.0,neutral
10,386,-0.5267,negative
16,287,0.0,neutral
17,581,0.0,neutral
12,350,0.2263,positive
13,443,0.6124,positive
12,348,-0.5106,negative
13,298,-0.8271,negative
13,447,-0.5859,negative
20,316,-0.34,negative
12,321,-0.873,negative
12,403,0.5106,positive
14,213,-0.1027,negative
13,372,-0.4215,negative
15,517,-0.8176,negative
15,319,0.0772,positive
12,389,0.0,neutral
11,460,-0.0258,neutral
15,286,-0.6369,negative
14,613,0.4767,positive
14,388,0.296,positive
14,355,-0.4215,negative
13,350,-0.4215,negative
